aaau;
aadfdd;
aaj;
aal;
aapa;apa
abad;abad
abai;abai
abang;kakak
abdate;update
abded;update
abdet;update
abg;kakak
abgreb;upgrade
abis;habis
abisin;habiskan
abiss;habis
able;able
abng;kakak
abss;habis
acc;terima
accaount;akun
acces;akses
account;akun
achievement;pencapaian
acik;seru
acount;akun
action;action
active;aktif
actual;actual
actually;actually
acumalaka;
ad;
adag;ada tidak
adain;adakan
adalan;adakan
adapin;hadapkan
adasedikinterkurangan;ada sedikit terkurangan
add;menambahkan
addicted;addicted
adding;adding
adeh;
adequate;adequate
adet;update
adick;adick
adilnyaa;adilnya
adjust;adjust
adjustment;adjustment
admine;admin
adminya;adminnya
aduhh;aduh
advanced;advanced
advice;advice
advin;
advised;advised
ae;
aeng;saya
aeru;seru
afkenak;afk enak
africa;afrika
aga;sedikit
agaar;agar
agaka;sedikit
ager;agar
agi;
agk;sedikit
agred;upgrade
agrep;upgrade
ah;
ahahahhaha;hahaha
ahh;
ahhahahahja;hahaha
ahir;akhir
ahkirnya;akhirnya
ai;
aibot;aimbot
aid;
aing;aku
airsudah;air sudah
ais;
aitem;item
aj;saja
aja;saja
ajaa;saja
ajab;azab
ajah;saja
ajaj;saja
ajalah;sajalah
ajarin;ajarkan
ajasetelah;saja setelah
ajasih;saja
ajay;anjing
ajayy;anjing
aje;saja
ajege;anjing
ajg;anjing
ajglah;anjinglah
ajh;saja
ajha;saja
ajin;anjing
ajing;anjing
ajirnaa;anjing
ajja;saja
ajmnjay;anjing
ajo;
aju;aku
ajustmen;adjustment
ak;
aka;akan
akalsaya;akal saya
akanterusmaju;akan terus maju
akar;akar
akhirakhir;akhir akhir
akhiry;akhirnya
aki;
akir;akhir
akkun;akun
akses;akses
aksi;aksi
akuh;aku
akun;akun
akunakun;akun akun
akung;akun
akunplayer;akun player
akusih;aku
akusuka;aku suka
akusukagameini;aku suka game ini
akuthanks;aku terima kasih
al;
ala;
alah;
alamin;mengalami
alan;
alangkah;alangkah
alay;alay
alesan;alasan
alhamdulillah;
alhasil;hasil
ali;
alihin;alihkan
alirido;
allaahumma;
allah;
almarhum;
alokasi;lokasi
already;already
also;also
alus;halus
always;selalu
alx;
ama;sama
amabil;ambil
amagay;
amanaman;aman aman
amannyaarea;amannya area
amazing;luar biasa
ambigu;bingung
amdenya;nyaman
ame;sama
amet;banget
ametiketu;
ammo;peluru
amo;peluru
ampas;sampah
ampe;sampai
ampek;sampai
ampir;hampir
amr;
amun;namun
ana;
analok;analog
anank;
anarr;
ancok;jelek
ancrit;jelek
ancur;hancur
ancurnya;hancurnya
andatapi;anda tapi
andelin;handalkan
andmin;admin
andro;android
ane;aku
anemy;musuh
anganpaan;apaan
angat;sangat
angel;sulit
anggab;anggap
anggunly;anggun
angregel;erangel
animalia;
aniversary;anniversary
anj;anjing
anja;
anjai;anjing
anjay;anjing
anjayhh;anjing
anjayy;anjing
anje;anjing
anjeng;anjing
anjer;anjing
anjg;anjing
